,neighborhood,year,tree_count,species_count
281,Inner Richmond,1989.0,22,10
282,Inner Richmond,1990.0,46,17
283,Inner Richmond,1991.0,44,16
284,Inner Richmond,1992.0,109,38
285,Inner Richmond,1993.0,174,43
286,Inner Richmond,1994.0,51,16
287,Inner Richmond,1995.0,66,26
288,Inner Richmond,1996.0,117,25
289,Inner Richmond,1997.0,41,16
290,Inner Richmond,1998.0,196,46
291,Inner Richmond,1999.0,54,19
292,Inner Richmond,2000.0,189,48
293,Inner Richmond,2001.0,65,25
294,Inner Richmond,2002.0,141,40
295,Inner Richmond,2003.0,39,26
296,Inner Richmond,2004.0,54,23
297,Inner Richmond,2005.0,77,28
298,Inner Richmond,2006.0,37,17
299,Inner Richmond,2007.0,47,23
300,Inner Richmond,2008.0,486,44
301,Inner Richmond,2009.0,33,20
302,Inner Richmond,2010.0,79,28
303,Inner Richmond,2011.0,48,21
304,Inner Richmond,2012.0,64,29
305,Inner Richmond,2013.0,48,18
306,Inner Richmond,2014.0,78,34
307,Inner Richmond,2015.0,75,37
308,Inner Richmond,2016.0,65,28
309,Inner Richmond,2017.0,32,21
310,Inner Richmond,2018.0,86,32
311,Inner Richmond,2019.0,27,18
312,Lake Merced,1969.0,1,1
313,Lake Merced,1986.0,1,1
314,Lake Merced,1990.0,9,5
315,Lake Merced,1991.0,2,2
316,Lake Merced,1992.0,12,6
317,Lake Merced,1993.0,7,3
318,Lake Merced,1994.0,31,8
319,Lake Merced,1995.0,81,19
320,Lake Merced,1996.0,7,4
321,Lake Merced,1997.0,5,4
322,Lake Merced,1998.0,101,19
323,Lake Merced,1999.0,12,7
324,Lake Merced,2000.0,60,14
325,Lake Merced,2001.0,127,24
326,Lake Merced,2002.0,103,20
327,Lake Merced,2003.0,23,12
328,Lake Merced,2004.0,16,9
329,Lake Merced,2005.0,13,6
330,Lake Merced,2006.0,84,26
331,Lake Merced,2007.0,96,12
332,Lake Merced,2008.0,107,19
333,Lake Merced,2009.0,33,10
334,Lake Merced,2010.0,15,6
335,Lake Merced,2011.0,8,2
336,Lake Merced,2012.0,12,3
337,Lake Merced,2013.0,62,15
338,Lake Merced,2014.0,23,12
339,Lake Merced,2015.0,39,14
340,Lake Merced,2016.0,41,15
341,Lake Merced,2017.0,26,13
342,Lake Merced,2018.0,10,8
343,Lake Merced,2019.0,19,7
344,Lake Merced,2020.0,2,1
345,Lower Pacific Heights,1956.0,3,1
346,Lower Pacific Heights,1969.0,1,1
347,Lower Pacific Heights,1970.0,1,1
348,Lower Pacific Heights,1972.0,21,9
349,Lower Pacific Heights,1973.0,12,6
350,Lower Pacific Heights,1974.0,8,6
351,Lower Pacific Heights,1975.0,2,2
352,Lower Pacific Heights,1976.0,15,12
353,Lower Pacific Heights,1977.0,7,4
354,Lower Pacific Heights,1978.0,8,7
355,Lower Pacific Heights,1979.0,4,3
356,Lower Pacific Heights,1980.0,6,4
357,Lower Pacific Heights,1981.0,12,6
358,Lower Pacific Heights,1982.0,31,11
359,Lower Pacific Heights,1983.0,14,12
360,Lower Pacific Heights,1984.0,13,9
361,Lower Pacific Heights,1985.0,9,7
362,Lower Pacific Heights,1986.0,36,12
363,Lower Pacific Heights,1987.0,36,15
364,Lower Pacific Heights,1988.0,23,16
365,Lower Pacific Heights,1989.0,34,17
366,Lower Pacific Heights,1990.0,97,23
367,Lower Pacific Heights,1991.0,62,18
368,Lower Pacific Heights,1992.0,105,24
369,Lower Pacific Heights,1993.0,44,20
370,Lower Pacific Heights,1994.0,47,16
371,Lower Pacific Heights,1995.0,83,20
372,Lower Pacific Heights,1996.0,29,12
373,Lower Pacific Heights,1997.0,124,32
374,Lower Pacific Heights,1998.0,113,37
375,Lower Pacific Heights,1999.0,101,28
376,Lower Pacific Heights,2000.0,82,36
377,Lower Pacific Heights,2001.0,83,22
378,Lower Pacific Heights,2002.0,77,34
379,Lower Pacific Heights,2003.0,86,27
380,Lower Pacific Heights,2004.0,47,21
381,Lower Pacific Heights,2005.0,106,30
382,Lower Pacific Heights,2006.0,50,22
383,Lower Pacific Heights,2007.0,77,23
384,Lower Pacific Heights,2008.0,139,32
385,Lower Pacific Heights,2009.0,64,17
386,Lower Pacific Heights,2010.0,41,22
387,Lower Pacific Heights,2011.0,62,22
388,Lower Pacific Heights,2012.0,77,22
389,Lower Pacific Heights,2013.0,80,21
390,Lower Pacific Heights,2014.0,57,23
391,Lower Pacific Heights,2015.0,96,32
392,Lower Pacific Heights,2016.0,75,32
393,Lower Pacific Heights,2017.0,26,17
394,Lower Pacific Heights,2018.0,76,26
395,Lower Pacific Heights,2019.0,12,10
396,Lower Pacific Heights,2020.0,1,1
397,Marina,1956.0,21,9
398,Marina,1969.0,12,5
399,Marina,1970.0,1,1
400,Marina,1972.0,29,13
401,Marina,1973.0,23,5
402,Marina,1974.0,1,1
403,Marina,1976.0,7,3
404,Marina,1977.0,7,5
405,Marina,1978.0,5,3
406,Marina,1979.0,11,8
407,Marina,1980.0,9,5
408,Marina,1981.0,15,13
409,Marina,1982.0,8,6
410,Marina,1983.0,7,6
411,Marina,1984.0,7,5
412,Marina,1985.0,39,16
413,Marina,1986.0,9,5
414,Marina,1987.0,11,5
415,Marina,1988.0,27,11
416,Marina,1989.0,35,14
417,Marina,1990.0,136,22
418,Marina,1991.0,13,8
419,Marina,1992.0,9,7
420,Marina,1993.0,60,23
421,Marina,1994.0,73,27
422,Marina,1995.0,31,16
423,Marina,1996.0,62,25
424,Marina,1997.0,59,20
425,Marina,1998.0,34,16
426,Marina,1999.0,64,30
427,Marina,2000.0,62,24
428,Marina,2001.0,17,12
429,Marina,2002.0,89,27
430,Marina,2003.0,38,13
431,Marina,2004.0,26,16
432,Marina,2005.0,29,16
433,Marina,2006.0,40,19
434,Marina,2007.0,35,13
435,Marina,2008.0,105,37
436,Marina,2009.0,43,19
437,Marina,2010.0,30,16
438,Marina,2011.0,42,15
439,Marina,2012.0,16,11
440,Marina,2013.0,36,21
441,Marina,2014.0,61,20
442,Marina,2015.0,74,23
443,Marina,2016.0,44,20
444,Marina,2017.0,9,8
445,Marina,2018.0,32,17
