species,address,latitude,longitude
Sycamore: London Plane,1000 MARKET ST,37.7818890298805,-122.410943255881
Sycamore: London Plane,1000 Market St,37.7822858053101,-122.410369845025
Swamp Myrtle,1000 Oak St,37.7733795839665,-122.436042731384
Swamp Myrtle,1000 Oakdale Ave,37.7283665652516,-122.3792214842
Sycamore: London Plane,1000 Ofarrell St,37.7847080464858,-122.422187425035
New Zealand Xmas Tree,1000 Portola Dr,37.741244865522,-122.457594860017
Swamp Myrtle,1000 Post St,37.7870891967428,-122.4185055529
Cherry Plum,1000 San Jose Ave,37.7390053040631,-122.424668946839
Sycamore: London Plane,1000 The Embarcadero,37.8002564280478,-122.398828240833
New Zealand Xmas Tree,1000 Valencia St,37.7566881721963,-122.421258895722
Sycamore: London Plane,1000 Van Ness Ave,37.7851715184224,-122.42001799302
Sycamore: London Plane,1000X California St,37.7918223538728,-122.411641798449
New Zealand Xmas Tree,1000X Mansell St,37.7191312087569,-122.411044830527
Sycamore: London Plane,1000X Taylor St,37.7916636644225,-122.412398106821
Swamp Myrtle,1000x Kirkham St,37.7600689102828,-122.471540622615
Sycamore: London Plane,1000x LEAVENWORTH ST,37.790392745036,-122.415304443955
Sycamore: London Plane,1001 22nd St,37.7576889246322,-122.39138440118
New Zealand Xmas Tree,1001 Franklin St,37.7839843260522,-122.42282898339
New Zealand Xmas Tree,1001 Gilman Ave,37.718302973173,-122.38846708965
Sycamore: London Plane,1001 Gough St,37.7826207491891,-122.424220141567
Sycamore: London Plane,1001 Market St,37.7821413626284,-122.410230096139
Sycamore: London Plane,1001 Noe St,37.7529161613528,-122.431917134467
Swamp Myrtle,1001 Oak St,37.7732850945599,-122.43579071263
Sycamore: London Plane,1001 Ofarrell St,37.7846369748603,-122.421576574896
New Zealand Xmas Tree,1001 Pine St,37.790570197216,-122.412491992318
Swamp Myrtle,1001 Pine St,37.7905858921869,-122.41240841294
Sycamore: London Plane,1001 Potrero Ave,37.7568367689384,-122.406644345083
Sycamore: London Plane,1001 Steiner St,37.7786404583541,-122.433509804214
Cherry Plum,1001 Treat Ave,37.7540259580459,-122.413057167657
Swamp Myrtle,1001 Turk St,37.7814354041528,-122.424330527926
Swamp Myrtle,1001 Ulloa St,37.74126632336,-122.466775350936
Sycamore: London Plane,1001 Van Ness Ave,37.7849863708004,-122.421477715093
Victorian Box,1001 WEBSTER ST,37.7797793101471,-122.430771610301
Victorian Box,1001 Webster St,37.780076939071,-122.430463780858
Victorian Box,1001X HAYES ST,37.775520785482,-122.433657198955
Swamp Myrtle,1001X Rhode Island St,37.7569440557359,-122.401704847401
Swamp Myrtle,1001x Bay St,37.8037883050638,-122.424145815925
Sycamore: London Plane,1002 Clayton St,37.7638019637156,-122.4471381628
Cherry Plum,1004 Sanchez St,37.752972841143,-122.429901097271
Victorian Box,1005 Irving St,37.7638849134436,-122.46852050742
Sycamore: London Plane,1005 Market St,37.7820329664559,-122.410319714188
Sycamore: London Plane,1006 Divisadero St,37.7788753464948,-122.438468952077
New Zealand Xmas Tree,1007 Diamond St,37.7493709610162,-122.436028485037
Swamp Myrtle,1007 Guerrero St,37.7548864275923,-122.423037187213
Cherry Plum,1007 Rhode Island St,37.7567360569294,-122.401694443163
Swamp Myrtle,1007 Taraval St,37.7429031920496,-122.476926067611
Sycamore: London Plane,1008 Divisadero St,37.7789772119553,-122.438407082865
New Zealand Xmas Tree,1009 Fell St,37.7743567123717,-122.434690458817
Cherry Plum,100@ Detroit Judson Ave,37.7283447217324,-122.444320267584
New Zealand Xmas Tree,100@ Front St Pine St,37.7924226531442,-122.399032145021
Victorian Box,100X 21st Ave,37.7869399943714,-122.460422770698
New Zealand Xmas Tree,100X 27th St,37.7472224703829,-122.422457811013
New Zealand Xmas Tree,100X Cargo Way,37.7429014981049,-122.381368111942
Swamp Myrtle,100X Duboce Ave,37.7699417360579,-122.422676910732
Swamp Myrtle,100X Frederick St,37.7673739936786,-122.445141068115
Cherry Plum,100X Freelon St,37.7787498613905,-122.397187064886
Swamp Myrtle,100X McCoppin St,37.7716490364194,-122.422545294145
Victorian Box,100X Otis St,37.7717040957938,-122.420389859033
Sycamore: London Plane,100X Richardson Ave,37.7997591641029,-122.446004425262
Cherry Plum,100X Ripley St,37.7900924610766,-122.391022110897
Sycamore: London Plane,100X Vicente St,37.7399435987969,-122.467424074653
Cherry Plum,100x Idora Ave,37.7443146316188,-122.458748984199
New Zealand Xmas Tree,100x Mansell St,37.7212620415847,-122.402270230489
Cherry Plum,100x PROSPECT AVE,37.7435974172286,-122.418948043759
Sycamore: London Plane,100x SACRAMENTO ST,37.7949470000015,-122.397300449207
New Zealand Xmas Tree,100x Whitney Young Cir,37.7362970999571,-122.385879567348
Cherry Plum,101 14th St,37.7684553033005,-122.415801688103
Victorian Box,101 20th Ave,37.7855981397202,-122.479842920071
Victorian Box,101 21st Ave,37.7856517584273,-122.480927801043
