year,neighborhood,most_popular_species,species_count
1988,Bayshore, New Zealand Xmas Tree,1
1988,Bayview, Bronze Loquat,20
1988,Castro, Brisbane Box,2
1988,Chinatown, Brisbane Box,2
1988,Ingleside, Cherry Plum,1
1988,Inner Richmond, American Sweet Gum,4
1988,Lower Pacific Heights, Bailey's Acacia,4
1988,Marina, Brazilian Pepper,10
1988,Mission, American Elm,10
1988,Nob Hill, Brisbane Box,5
1988,North Beach, Banyan Fig,9
1988,Outer Richmond, Dracena Palm,1
1988,Panhandle, Banyan Fig,26
1988,Portola, Cherry Plum,1
1988,Rincon Hill, Sycamore: London Plane,1
1988,SoMa, Brazilian Pepper,1
1988,South Beach, Brisbane Box,2
1988,Sunset, Bronze Loquat,5
1988,Taraval, Karo Tree,2
1988,Tenderloin, Chinese Banyan,5
1988,Twin Peaks, Bailey's Acacia,12
1989,Bayshore, Cherry Plum,1
1989,Bayview, Brisbane Box,1
1989,Castro, Bailey's Acacia,8
1989,Chinatown, Aristocrat Callery Pear,4
1989,Financial District, Brisbane Box,2
1989,Ingleside, Australian Willow,13
1989,Inner Richmond, Australian Willow,8
1989,Lower Pacific Heights, Banyan Fig,5
1989,Marina, American Sweet Gum,12
1989,Mission, Ash Spp,14
1989,Nob Hill, Brisbane Box,8
1989,North Beach, Banyan Fig,2
1989,Outer Richmond, Aristocrat Callery Pear,26
1989,Panhandle, Banyan Fig,8
1989,Portola, Lemon Bottlebrush,1
1989,Rincon Hill, Sycamore: London Plane,1
1989,SoMa, Carob,3
1989,South Beach, Cherry Plum,1
1989,Sunset, Cajeput,1
1989,Taraval, Bronze Loquat,15
1989,Tenderloin, Brisbane Box,8
1989,Twin Peaks, Bailey's Acacia,11
1990,Bayview, Bailey's Acacia,10
1990,Castro, Brisbane Box,9
1990,Chinatown, Ornamental Pear,1
1990,Ingleside, American Sweet Gum,26
1990,Inner Richmond, American Sweet Gum,12
1990,Lake Merced, Blue Gum,4
1990,Lower Pacific Heights, American Sweet Gum,31
1990,Marina, American Sweet Gum,57
1990,Mission, American Sweet Gum,16
1990,Nob Hill, American Sweet Gum,15
1990,North Beach, American Sweet Gum,6
1990,Outer Richmond, Aristocrat Callery Pear,2
1990,Panhandle, Bailey's Acacia,7
1990,Portola, Australian Willow,9
