species,address,latitude,longitude
Sycamore: London Plane,798 Larkin St,37.8061312232454,-122.42222481614
Sycamore: London Plane,150x Drumm St,37.7951178808501,-122.39668872043
Brisbane Box,510 Townsend St,37.773369031352,-122.399926071367
Swamp Myrtle,2354 28th Ave,37.7434344283196,-122.485305937079
Brisbane Box,450 Guerrero St,37.7638375651828,-122.424127803166
Sycamore: London Plane,219 Brannan St,37.7831075868932,-122.390356017438
Swamp Myrtle,316 Park St,37.7363630446124,-122.418858131196
Swamp Myrtle,1318 Shafter Ave,37.7281326207796,-122.385444597808
Sycamore: London Plane,219 Brannan St,37.783373740337,-122.390021655777
New Zealand Xmas Tree,2125 Bush St,37.7870091818806,-122.432968631522
New Zealand Xmas Tree,280 Redwood St,37.7804137729253,-122.421853191093
Brisbane Box,789 Ellis St,37.7840008720382,-122.419144774802
Brisbane Box,720 Bosworth St,37.7339155990291,-122.435566443955
Brisbane Box,3098 Turk Blvd,37.7774592380037,-122.456850126351
Swamp Myrtle,4109 Kirkham St,37.7585256942415,-122.504967040604
Cherry Plum,2950 Anza St,37.77845023816,-122.48011779645
Sycamore: London Plane,2X Market St,37.7943018674931,-122.395216400731
Sycamore: London Plane,88 Howard St,37.7916514808906,-122.392244590128
Sycamore: London Plane,817 Grove St,37.7768200787027,-122.430497854773
Swamp Myrtle,4452 23rd St,37.7524985647793,-122.441752986417
Swamp Myrtle,900 Gilman Ave,37.7173406522544,-122.386397562018
Sycamore: London Plane,2099X Geary Blvd,37.7836169980675,-122.437805961288
Swamp Myrtle,4281 22nd St,37.754055713006,-122.440703226692
Sycamore: London Plane,2020 Broadway,37.7948730143216,-122.430880344756
Swamp Myrtle,1630 Ocean Ave,37.724706633679,-122.459597742396
Swamp Myrtle,462 30th St,37.7419443208891,-122.430054719445
Sycamore: London Plane,222 Walnut St,37.789313320001,-122.448856716881
New Zealand Xmas Tree,2600X Balboa St,37.7762699547556,-122.486788758508
Swamp Myrtle,1700 Yosemite Ave,37.728058768696,-122.393610646816
Sycamore: London Plane,3399 Washington St,37.7897017650614,-122.44877138739
Swamp Myrtle,301 Lake St,37.7866209222593,-122.462754079731
New Zealand Xmas Tree,249 Castenada Ave,37.7466925497383,-122.462846577803
Sycamore: London Plane,401 The Embarcadero,37.794665645968,-122.393152651785
New Zealand Xmas Tree,10X Powell St,37.7847947142736,-122.407629611527
Cherry Plum,3075 23rd Ave,37.7314826909771,-122.479220054956
Sycamore: London Plane,2541 California St,37.7885030150756,-122.436277790493
New Zealand Xmas Tree,2830 Geary Blvd,37.7823123226421,-122.449654659499
Swamp Myrtle,800 Innes Ave,37.7311072788765,-122.373988670067
Swamp Myrtle,101 Saint Joseph's Ave,37.7803941391444,-122.441241206915
Cherry Plum,3717 21st St,37.7562681837431,-122.430526337427
Brisbane Box,2 Dunsmuir St,37.7309802758886,-122.414437878529
Sycamore: London Plane,4074 23rd St,37.7529961641585,-122.43362065727
